status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
236000816506015_801799286592829,"Selling 10 Kaplan MCAT 2015 prep books! A brand-new, never used set that includes 7 subject books (Ochem, Gen Chem, Behavioral Sciences, Critical Reading, Physics, Biology, Biochemistry), Quicksheets Guide, a High-Yield Problem Set book, and a Kaplan Lesson Book. 150$ or best offer!",,status,,2016-03-19 14:58:52,4,0,0
236000816506015_801802239925867,"BUYING 
L'animale by Rachilde (French book)

thanks!",,status,,2016-03-19 15:03:54,0,0,0
236000816506015_799252310180860,"*IMPORTANT** Tomorrow night is the LAST Tuesday night that Middle Tree's financial aid expert, Benny Singh Rios, will be hosting our incredible, free financial aid workshop.

What You Will Learn: The easiest, fastest ways to earn scholarships, how to search for particular grants that will pay your way through college and graduate school, tips on writing and applying for a specific grant, how to search for and find scholarships, grants, and how to apply for financial aid, information on the FAFSA, and much more.

Our expert has more than a decade experience in financial aid advising and will teach you the best tips and secrets in applying and receiving financial aid, scholarships, and grants. Your wallet and savings account will thank you for signing up and attending this free workshop.

WHEN: Tuesday 7-8pm
WHERE: Middle Tree 250 1st Street, Suite #256 Claremont, CA 91711
FMI: www.middletree.org, email info@middletree.org, or call (909) 293-9560 to enroll now.",,photo,https://www.facebook.com/photo.php?fbid=171271089924275&set=gm.799252310180860&type=3,2016-03-14 19:00:42,0,0,0
236000816506015_797638727008885,Looking for a Physics GRE prep book and/or a general GRE prep book. Thanks :),,status,,2016-03-12 01:14:06,0,0,0
236000816506015_797444957028262,"I'm selling these books!  All but one are needed for various 5C classes.  Click on a book image for its price, information, and/or to express your interest in purchasing.

Books:
•Biology, 2nd Edition - Brooker et al.
•Cadillac Desert - Marc Reisner
•Classical Arabic Philosophy: An Anthology of Sources - Jon McGinnis & David E. Reisman
•The Girls of Atomic City - Denise Kiernan
•The Incoherence of the Philosophers - Al-Ghazālī (translated by Michael E. Marmura)
•Photography: A Critical Introduction - Liz Wells
•A Reader in the Anthropology of Religion - Michael Lambek
•Religion Explained - Pascal Boyer
•This Land is Their Land - Evaggelos Vallianatos",Photos from Emmaline Meill's post,photo,https://www.facebook.com/photo.php?fbid=1365365253480351&set=gm.797444957028262&type=3,2016-03-11 16:17:54,0,0,0
236000816506015_796278503811574,"If anyone has the solution set for Mankiw's 9th edition Macro, I will sincerely appreciate knowing whether or not my midterm prep is headed in the right direction, much love",,status,,2016-03-09 04:35:53,2,0,0
236000816506015_793055664133858,"MIDDLE TREE is always looking for reliable, dedicated, enthusiastic TUTORS, TEACHERS, WEB DESIGNERS/DEVELOPERS, PROGRAMMERS, ADMINISTRATORS, ASSISTANTS, MARKETING INTERNS, VOLUNTEERS who love kids! Apply to Joe Atman info@middletree.org, visit our website www.middletree.org, or call (909) 293-9560 NOW!

#MiddleTree is located in #Claremont Village... minutes away from Claremont Colleges and regional schools.  #Hiring #application #jobsearch #tutor #teaching #intern #volunteer #helping",,status,,2016-03-01 12:47:59,1,0,0
236000816506015_793055620800529,"MIDDLE TREE is always looking for reliable, dedicated, enthusiastic TUTORS, TEACHERS, WEB DESIGNERS/DEVELOPERS, PROGRAMMERS, ADMINISTRATORS, ASSISTANTS, MARKETING INTERNS, VOLUNTEERS who love kids! Apply to Joe Atman info@middletree.org, visit our website www.middletree.org, or call (909) 293-9560 NOW!

#MiddleTree is located in #Claremont Village... minutes away from Claremont Colleges and regional schools.  #Hiring #application #jobsearch #tutor #teaching #intern #volunteer #helping",,photo,https://www.facebook.com/photo.php?fbid=161259914258726&set=gm.793055620800529&type=3,2016-03-01 12:47:53,0,0,0
236000816506015_789369777835780,"Buying:
Principles of Macroeconomics 3e by Timothy Taylor",,status,,2016-02-21 23:39:57,0,0,0
236000816506015_786614004778024,"Selling: 

LSAT prep book (Kaplan). Includes real tests and online resources (over 1100 pages). Brand new. I ended up taking a class that provided books.",,status,,2016-02-15 22:40:40,0,2,0
236000816506015_787030228069735,Looking for a copy of El Narco AND/OR other books about the drug cartels. Thanks!,El Narco: Inside Mexico's Criminal Insurgency,link,http://www.amazon.com/El-Narco-Mexicos-Criminal-Insurgency/dp/1608194019,2016-02-16 19:55:30,1,3,0
236000816506015_787479374691487,selling Joan Didion-Miami for $6!!,,status,,2016-02-17 17:26:36,1,0,0
236000816506015_786906604748764,"TONIGHT! With Middle Tree's #financialaid expert Benny Singh Rios from 7-8pm, learn how to pay your way through college, university, and higher education programs. Any questions? Call (909) 293-9560 or head to www.middletree.org.

PS- Middle Tree / Middle Tree is looking for #tutors, #teachers, and #volunteers as well.  FMI email info@middletree.org",,photo,https://www.facebook.com/photo.php?fbid=148921468825904&set=gm.786906604748764&type=3,2016-02-16 12:00:32,0,0,0
236000816506015_784805844958840,does anyone have a copy of silent spring (carson) that I could buy or borrow for the weekend? thanks (~:,,status,,2016-02-12 03:28:50,1,2,0
236000816506015_784206278352130,"BUYING:

Reason in History - Hegel
A Kierkegaard Anthology - Kierkegaard
The Genealogy of Morals - Nietzsche",,status,,2016-02-10 17:35:17,1,1,0
236000816506015_783503148422443,"BUYING:

Discrete Math and Its Applications: 4th Edition by Kenneth Rosen

Would really appreciate it if someone has it. I know it's 5 dollars on Amazon, but the shipping is way too slow.",,status,,2016-02-09 04:12:21,0,2,0
236000816506015_783367215102703,"BUYING:

1. Revolution and Its Past: Identities and Change in Modern Chinese History

2. The Supreme Court and Tribal Gaming: California v. Cabazon Band of Mission Indians (Landmark Law Cases and American Society) 

3. The Federalist Papers

4. American Government and Politics: Deliberation, Democracy and Citizenship

5. Democracy in America 

6. Wealth and Power: China's Long March to the Twenty-first Century

7. China Under Mao: A Revolution Derailed",,status,,2016-02-08 19:56:19,0,2,0
236000816506015_780978422008249,"Buying: MAKING SEX by Laqueur &
The Woman in The Body by Martin 

(for Sex, Body, and Reproduction class at Pitzer)",,status,,2016-02-03 18:39:54,0,2,0
236000816506015_780019522104139,"Buying for Intro to Sociocultural Anthropology:
Ethnography Essentials
Murchison

Skin for Skin
Sider

Mad Dogs, Englishmen, & Errant Anthropologist
Raybeck

Annual Editions: Anthropology
Angeloni

Consuming Grief
Conklin",,status,,2016-02-01 16:53:16,0,0,0
236000816506015_780015358771222,Selling: El Reino de Este Mundo,,status,,2016-02-01 16:47:31,0,0,0
236000816506015_779604752145616,"Selling! French 33, Pomona. 20$, text me if you're interested",,photo,https://www.facebook.com/photo.php?fbid=1085301378181764&set=gm.779604752145616&type=3,2016-01-31 17:57:32,0,1,0
236000816506015_779207892185302,"Buying:
- Intermediate Accounting (w/2013 Annual Report) 8th Edition, by Spiceland

Selling: 
- Financial Accounting (Looseleaf) Edition: 14th (ECON086)
- Introduction to Industrial and Organizational Psychology, 6th Edition (PSYC037)",,status,,2016-01-30 21:11:11,0,1,0
236000816506015_778609892245102,Selling: Psychology 10th edition by David Myers,,status,,2016-01-29 15:50:57,0,0,0
236000816506015_777918225647602,Just a quick survey for my ongoing project.,,photo,https://www.facebook.com/photo.php?fbid=10208583858258683&set=gm.777918225647602&type=3,2016-01-28 01:59:26,0,1,0
236000816506015_777774462328645,Does anyone have a copy of Plato's Republic?,,status,,2016-01-27 17:49:25,1,4,0
236000816506015_777764312329660,"Buying: 
Miami Joan didion",,status,,2016-01-27 17:07:28,0,0,0
236000816506015_777762978996460,"SELLING:

The Federalist - Alexander Hamilton, John Jay, and James Madison 
The Anti-Federalist - Edited by Herbert J. Storing
Toward a More Perfect Union - Herbert J. Storing 
Democracy in America - Alexis De Tocqueville 

Each book ranging from $10-$15.",,status,,2016-01-27 17:01:10,0,0,0
236000816506015_777724012333690,"Buying:
Punto y aparte for Spanish 33
Applied Calculus for business econ and the social sciences for calc 1 at CMC with bradley
...dont wanna pay more than $40 for each but message me and maybe we can negotiate something!",,status,,2016-01-27 14:47:50,0,0,0
236000816506015_777723705667054,"Looking for:

Freedom on My Mind, Combined Volume: A History of African Americans, with Documents (or just volume 2)

""Myne Owne Ground"": Race and Freedom on Virginia's Eastern Shore, 1640-1676 by T. H. Breen",,status,,2016-01-27 14:46:24,1,0,0
236000816506015_777236762382415,"I am selling all of these.  If you were taking psychology, biology, African history or Asian-American media study this semester, you would probably need it. Price is negotiable.",,photo,https://www.facebook.com/photo.php?fbid=885176264914897&set=gm.777236762382415&type=3,2016-01-26 10:35:46,1,1,0
236000816506015_777471909025567,Selling most of the books for Power and Participation in America at Pz,,status,,2016-01-26 23:36:25,1,0,0
236000816506015_777332435706181,"Need: 
Intermediate Microeconomics: A Modern Approach by Hal R. Varian  

Any edition would be great!!",,status,,2016-01-26 15:38:57,0,2,0
236000816506015_777461292359962,Selling:,,photo,https://www.facebook.com/photo.php?fbid=10208914632451860&set=gm.777461292359962&type=3,2016-01-26 23:01:23,0,0,0
